Wavelength,Transmission
6503.0,0.972792
6504.0,0.972929
6505.0,0.973069
6506.0,0.973212
6507.0,0.973357
6508.0,0.973503
6509.0,0.973651
6510.0,0.9738
6511.0,0.973949
6512.0,0.974097
6513.0,0.974244
6514.0,0.974387
6515.0,0.974525
6516.0,0.974657
6517.0,0.974782
6518.0,0.974898
6519.0,0.975005
6520.0,0.9751
6521.0,0.975183
6522.0,0.975255
6523.0,0.975318
6524.0,0.975372
6525.0,0.975419
6526.0,0.97546
6527.0,0.975498
6528.0,0.975533
6529.0,0.975566
6530.0,0.9756
6531.0,0.975635
6532.0,0.975671
6533.0,0.975706
6534.0,0.975741
6535.0,0.975775
6536.0,0.975807
6537.0,0.975836
6538.0,0.975862
6539.0,0.975883
6540.0,0.9759
6541.0,0.975911
6542.0,0.975915
6543.0,0.975912
6544.0,0.975901
6545.0,0.97588
6546.0,0.975849
6547.0,0.975806
6548.0,0.975751
6549.0,0.975683
6550.0,0.9756
6551.0,0.975503
6552.0,0.975392
6553.0,0.975271
6554.0,0.975141
6555.0,0.975004
6556.0,0.974864
6557.0,0.974721
6558.0,0.974577
6559.0,0.974437
6560.0,0.9743
6561.0,0.974169
6562.0,0.974043
6563.0,0.973921
6564.0,0.973799
6565.0,0.973677
6566.0,0.973553
6567.0,0.973425
6568.0,0.973291
6569.0,0.97315
6570.0,0.973
6571.0,0.972839
6572.0,0.972669
6573.0,0.972491
6574.0,0.972304
6575.0,0.972112
6576.0,0.971915
6577.0,0.971714
6578.0,0.97151
6579.0,0.971305
6580.0,0.9711
6581.0,0.970895
6582.0,0.970692
6583.0,0.970489
6584.0,0.970287
6585.0,0.970087
6586.0,0.969887
6587.0,0.969688
6588.0,0.969491
6589.0,0.969295
6590.0,0.9691
6591.0,0.968906
6592.0,0.968714
6593.0,0.968522
6594.0,0.968332
6595.0,0.968142
6596.0,0.967953
6597.0,0.967764
6598.0,0.967576
6599.0,0.967388
6600.0,0.9672
6601.0,0.967012
6602.0,0.966825
6603.0,0.966639
6604.0,0.966455
6605.0,0.966272
6606.0,0.966091
6607.0,0.965913
6608.0,0.965738
6609.0,0.965567
6610.0,0.9654
6611.0,0.965237
6612.0,0.965078
6613.0,0.964923
6614.0,0.964771
6615.0,0.964621
6616.0,0.964474
6617.0,0.964329
6618.0,0.964185
6619.0,0.964042
6620.0,0.9639
6621.0,0.963758
6622.0,0.963618
6623.0,0.963483
6624.0,0.963353
6625.0,0.96323
6626.0,0.963117
6627.0,0.963016
6628.0,0.962928
6629.0,0.962856
6630.0,0.9628
6631.0,0.962763
6632.0,0.962743
6633.0,0.962739
6634.0,0.962748
6635.0,0.96277
6636.0,0.962802
6637.0,0.962843
6638.0,0.962891
6639.0,0.962944
6640.0,0.963
6641.0,0.963058
6642.0,0.963118
6643.0,0.963179
6644.0,0.96324
6645.0,0.963301
6646.0,0.963363
6647.0,0.963424
6648.0,0.963484
6649.0,0.963543
6650.0,0.9636
6651.0,0.963656
6652.0,0.963711
6653.0,0.963767
6654.0,0.963825
6655.0,0.963887
6656.0,0.963954
6657.0,0.964027
6658.0,0.964109
6659.0,0.964199
6660.0,0.9643
6661.0,0.964413
6662.0,0.964535
6663.0,0.964667
6664.0,0.964806
6665.0,0.96495
6666.0,0.965099
6667.0,0.96525
6668.0,0.965401
6669.0,0.965552
6670.0,0.9657
6671.0,0.965845
6672.0,0.965987
6673.0,0.966127
6674.0,0.966268
6675.0,0.966411
6676.0,0.966557
6677.0,0.966707
6678.0,0.966864
6679.0,0.967027
6680.0,0.9672
6681.0,0.967383
6682.0,0.967574
6683.0,0.967774
6684.0,0.967981
6685.0,0.968193
6686.0,0.96841
6687.0,0.96863
6688.0,0.968853
6689.0,0.969076
6690.0,0.9693
6691.0,0.969523
6692.0,0.969744
6693.0,0.969963
6694.0,0.970179
6695.0,0.970393
6696.0,0.970603
6697.0,0.970809
6698.0,0.971011
6699.0,0.971208
6700.0,0.9714
6701.0,0.971586
6702.0,0.971767
6703.0,0.971944
6704.0,0.972116
6705.0,0.972285
6706.0,0.972451
6707.0,0.972615
6708.0,0.972778
6709.0,0.972939
6710.0,0.9731
6711.0,0.973261
6712.0,0.973421
6713.0,0.97358
6714.0,0.973737
6715.0,0.973892
6716.0,0.974043
6717.0,0.97419
6718.0,0.974332
6719.0,0.974469
6720.0,0.9746
6721.0,0.974724
6722.0,0.974842
6723.0,0.974954
6724.0,0.97506
6725.0,0.975161
6726.0,0.975257
6727.0,0.975348
6728.0,0.975436
6729.0,0.97552
6730.0,0.9756
6731.0,0.975677
6732.0,0.975752
6733.0,0.975822
6734.0,0.975889
6735.0,0.975953
6736.0,0.976011
6737.0,0.976066
6738.0,0.976116
6739.0,0.97616
