#http://jwst.astro.umontreal.ca/?page_id=51

NIRISS Instrument Team Estimated Throughput. Source: Loic Albert.
First order is valid between 0.6 and 3.0 microns.
Second order is valid between 0.6 and 1.4 microns.
Third order is a highly uncertain guess lacking lab test.
---
     wavelength (nm)       T first order      T second order       T third order
               869.0              0.1376             0.08213               0.000
               870.0              0.1385             0.08157               0.000
               871.0              0.1393             0.08099               0.000
               872.0              0.1402             0.08041               0.000
               873.0              0.1410             0.07982               0.000
               874.0              0.1418             0.07925               0.000
               875.0              0.1427             0.07867               0.000
               876.0              0.1435             0.07812               0.000
               877.0              0.1445             0.07759               0.000
               878.0              0.1454             0.07708               0.000
               879.0              0.1463             0.07654               0.000
               880.0              0.1471             0.07599               0.000
               881.0              0.1480             0.07546               0.000
               882.0              0.1489             0.07494               0.000
               883.0              0.1499             0.07447               0.000
               884.0              0.1509             0.07401               0.000
               885.0              0.1518             0.07351               0.000
               886.0              0.1527             0.07300               0.000
               887.0              0.1536             0.07248               0.000
               888.0              0.1546             0.07202               0.000
               889.0              0.1558             0.07168               0.000
               890.0              0.1571             0.07135               0.000
               891.0              0.1580             0.07088               0.000
               892.0              0.1589             0.07037               0.000
               893.0              0.1599             0.06993               0.000
               894.0              0.1609             0.06949               0.000
               895.0              0.1618             0.06902               0.000
               896.0              0.1628             0.06854               0.000
               897.0              0.1637             0.06807               0.000
               898.0              0.1646             0.06761               0.000
               899.0              0.1656             0.06719               0.000
               900.0              0.1666             0.06677               0.000
               901.0              0.1676             0.06629               0.000
               902.0              0.1685             0.06583               0.000
               903.0              0.1696             0.06540               0.000
               904.0              0.1707             0.06497               0.000
               905.0              0.1716             0.06452               0.000
               906.0              0.1726             0.06406               0.000
               907.0              0.1736             0.06364               0.000
               908.0              0.1747             0.06323               0.000
               909.0              0.1757             0.06278               0.000
               910.0              0.1766             0.06234               0.000
               911.0              0.1776             0.06190               0.000
               912.0              0.1786             0.06147               0.000
               913.0              0.1796             0.06103               0.000
               914.0              0.1806             0.06061               0.000
               915.0              0.1816             0.06021               0.000
               916.0              0.1827             0.05982               0.000
               917.0              0.1837             0.05940               0.000
               918.0              0.1847             0.05898               0.000
               919.0              0.1858             0.05860               0.000
               920.0              0.1869             0.05822               0.000
               921.0              0.1879             0.05782               0.000
               922.0              0.1889             0.05741               0.000
               923.0              0.1897             0.05697               0.000
               924.0              0.1907             0.05655               0.000
               925.0              0.1918             0.05618               0.000
               926.0              0.1929             0.05582               0.000
               927.0              0.1939             0.05543               0.000
               928.0              0.1949             0.05504               0.000
               929.0              0.1959             0.05466               0.000
               930.0              0.1969             0.05427               0.000
               931.0              0.1979             0.05388               0.000
               932.0              0.1989             0.05350               0.000
               933.0              0.2000             0.05315               0.000
               934.0              0.2011             0.05280               0.000
               935.0              0.2021             0.05243               0.000
               936.0              0.2031             0.05205               0.000
               937.0              0.2040             0.05168               0.000
               938.0              0.2050             0.05131               0.000
               939.0              0.2060             0.05094               0.000
               940.0              0.2070             0.05058               0.000
               941.0              0.2081             0.05025               0.000
               942.0              0.2092             0.04991               0.000
               943.0              0.2102             0.04955               0.000
               944.0              0.2112             0.04920               0.000
               945.0              0.2123             0.04887               0.000
               946.0              0.2134             0.04854               0.000
               947.0              0.2144             0.04820               0.000
               948.0              0.2154             0.04785               0.000
               949.0              0.2163             0.04751               0.000
               950.0              0.2173             0.04716               0.000
               951.0              0.2183             0.04680               0.000
               952.0              0.2193             0.04643               0.000
               953.0              0.2202             0.04606               0.000
               954.0              0.2212             0.04570               0.000
               955.0              0.2223             0.04537               0.000
               956.0              0.2234             0.04504               0.000
               957.0              0.2244             0.04468               0.000
               958.0              0.2254             0.04433               0.000
               959.0              0.2263             0.04397               0.000
               960.0              0.2273             0.04363               0.000
               961.0              0.2283             0.04328               0.000
               962.0              0.2293             0.04294               0.000
               963.0              0.2304             0.04263               0.000
               964.0              0.2315             0.04231               0.000
               965.0              0.2325             0.04198               0.000
               966.0              0.2334             0.04165               0.000
               967.0              0.2344             0.04132               0.000
               968.0              0.2354             0.04099               0.000
               969.0              0.2364             0.04067               0.000
